created_at,index,id_str,text,entities,favorite_count,retweet_count,followers_count,friends_count,datetime
2016-03-16 10:38:05,455,710052509646241792,In der heutigen Sitzung des Nationalrates manifestiert sich die tiefe Kluft zwischen den Koalitionspartien. Das kann nicht gut gehen.,"{'user_mentions': [], 'urls': [], 'symbols': [], 'hashtags': []}",13,4,11636,304,2016-03-16 10:38:05
2016-03-16 08:15:43,456,710016682870349824,RT @BIZEPS: Messe integra heuer vom 27. – 29. April 2016 https://t.co/48agSpGNZw,"{'user_mentions': [{'name': 'BIZEPS', 'indices': [3, 10], 'id_str': '17345784', 'screen_name': 'BIZEPS', 'id': 17345784}], 'urls': [{'indices': [57, 80], 'display_url': 'bizeps.or.at/messe-integra-…', 'expanded_url': 'https://www.bizeps.or.at/messe-integra-heuer-vom-27-29-april-2016/', 'url': 'https://t.co/48agSpGNZw'}], 'symbols': [], 'hashtags': []}",0,4,11636,304,2016-03-16 08:15:43
2016-03-16 08:15:19,457,710016584639770624,"RT @oldpicsarchive: Brigiite Bardot and Sean Connery / Movie Stars, (43 photos) https://t.co/NmtjUfIH5k https://t.co/Q4bu8PCNg4","{'user_mentions': [{'name': 'Old Pics Archive', 'indices': [3, 18], 'id_str': '2441831348', 'screen_name': 'oldpicsarchive', 'id': 2441831348}], 'urls': [{'indices': [80, 103], 'display_url': 'bit.ly/1OIcnq8', 'expanded_url': 'http://bit.ly/1OIcnq8', 'url': 'https://t.co/NmtjUfIH5k'}], 'media': [{'media_url': 'http://pbs.twimg.com/media/CdpqZ2oWoAAQTJw.jpg', 'source_status_id_str': '709996883821912064', 'indices': [104, 127], 'media_url_https': 'https://pbs.twimg.com/media/CdpqZ2oWoAAQTJw.jpg', 'url': 'https://t.co/Q4bu8PCNg4', 'sizes': {'large': {'resize': 'fit', 'h': 808, 'w': 540}, 'medium': {'resize': 'fit', 'h': 808, 'w': 540}, 'small': {'resize': 'fit', 'h': 509, 'w': 340}, 'thumb': {'resize': 'crop', 'h': 150, 'w': 150}}, 'source_status_id': 709996883821912064, 'id': 709996883658317824, 'source_user_id': 2441831348, 'display_url': 'pic.twitter.com/Q4bu8PCNg4', 'expanded_url': 'https://twitter.com/oldpicsarchive/status/709996883821912064/photo/1', 'id_str': '709996883658317824', 'type': 'photo', 'source_user_id_str': '2441831348'}], 'symbols': [], 'hashtags': []}",0,66,11636,304,2016-03-16 08:15:19
2016-03-16 08:12:36,458,710015897272983552,RT @IngridThurnher: Das war ja zu erwarten :-) @maschek_org großartig! https://t.co/wXeJpnPQDV #imzentrum,"{'user_mentions': [{'name': 'Ingrid Thurnher', 'indices': [3, 18], 'id_str': '76050386', 'screen_name': 'IngridThurnher', 'id': 76050386}, {'name': 'maschek.', 'indices': [47, 59], 'id_str': '15630040', 'screen_name': 'maschek_org', 'id': 15630040}], 'urls': [{'indices': [71, 94], 'display_url': 'youtu.be/-GPE0H-aFkg', 'expanded_url': 'http://youtu.be/-GPE0H-aFkg', 'url': 'https://t.co/wXeJpnPQDV'}], 'symbols': [], 'hashtags': [{'text': 'imzentrum', 'indices': [95, 105]}]}",0,27,11636,304,2016-03-16 08:12:36
2016-03-15 19:58:34,459,709831175196581890,@SchimaDr Ich habe schon im Dezember 2015 unterschrieben.,"{'user_mentions': [{'name': 'Dr. Martin Schima', 'indices': [0, 9], 'id_str': '1685678424', 'screen_name': 'SchimaDr', 'id': 1685678424}], 'urls': [], 'symbols': [], 'hashtags': []}",4,1,11636,304,2016-03-15 19:58:34
2016-03-15 08:47:01,460,709662171555340288,RT @oldpicsarchive: 28 Odd Creative Ideas  https://t.co/2gkIrr3tJI https://t.co/iTdWc61M4p,"{'user_mentions': [{'name': 'Old Pics Archive', 'indices': [3, 18], 'id_str': '2441831348', 'screen_name': 'oldpicsarchive', 'id': 2441831348}], 'urls': [{'indices': [43, 66], 'display_url': 'bit.ly/1Scxrf6', 'expanded_url': 'http://bit.ly/1Scxrf6', 'url': 'https://t.co/2gkIrr3tJI'}], 'media': [{'media_url': 'http://pbs.twimg.com/media/Cdkf7lQW8AA05nA.jpg', 'source_status_id_str': '709633524832272384', 'indices': [67, 90], 'media_url_https': 'https://pbs.twimg.com/media/Cdkf7lQW8AA05nA.jpg', 'url': 'https://t.co/iTdWc61M4p', 'sizes': {'large': {'resize': 'fit', 'h': 460, 'w': 500}, 'medium': {'resize': 'fit', 'h': 460, 'w': 500}, 'small': {'resize': 'fit', 'h': 313, 'w': 340}, 'thumb': {'resize': 'crop', 'h': 150, 'w': 150}}, 'source_status_id': 709633524832272384, 'id': 709633524761030656, 'source_user_id': 2441831348, 'display_url': 'pic.twitter.com/iTdWc61M4p', 'expanded_url': 'https://twitter.com/oldpicsarchive/status/709633524832272384/photo/1', 'id_str': '709633524761030656', 'type': 'photo', 'source_user_id_str': '2441831348'}], 'symbols': [], 'hashtags': []}",0,84,11636,304,2016-03-15 08:47:01
2016-03-09 17:14:52,461,707615649531629568,RT @neuwalcom: Aufbauarbeit fürs #Barometer Interview mit @norbertghofer #bpw16 https://t.co/Rw3rI2yaoe,"{'user_mentions': [{'name': 'neuwal', 'indices': [3, 13], 'id_str': '1531056103', 'screen_name': 'neuwalcom', 'id': 1531056103}, {'name': 'Norbert Hofer', 'indices': [58, 72], 'id_str': '333606989', 'screen_name': 'norbertghofer', 'id': 333606989}], 'urls': [], 'media': [{'media_url': 'http://pbs.twimg.com/media/CdHbj4gXIAE-9-Y.jpg', 'source_status_id_str': '707588054190579712', 'indices': [80, 103], 'media_url_https': 'https://pbs.twimg.com/media/CdHbj4gXIAE-9-Y.jpg', 'url': 'https://t.co/Rw3rI2yaoe', 'sizes': {'large': {'resize': 'fit', 'h': 576, 'w': 1024}, 'medium': {'resize': 'fit', 'h': 338, 'w': 600}, 'small': {'resize': 'fit', 'h': 191, 'w': 340}, 'thumb': {'resize': 'crop', 'h': 150, 'w': 150}}, 'source_status_id': 707588054190579712, 'id': 707588025983901697, 'source_user_id': 1531056103, 'display_url': 'pic.twitter.com/Rw3rI2yaoe', 'expanded_url': 'https://twitter.com/neuwalcom/status/707588054190579712/photo/1', 'id_str': '707588025983901697', 'type': 'photo', 'source_user_id_str': '1531056103'}], 'symbols': [], 'hashtags': [{'text': 'Barometer', 'indices': [33, 43]}, {'text': 'bpw16', 'indices': [73, 79]}]}",0,3,11636,304,2016-03-09 17:14:52
2016-03-07 17:21:36,462,706892569909862400,"@arminwolf Ich finde es unerhört, dass die Krone am Weltfrauentag ein Foto von mir ablichtet, ohne mich zu fragen. ;-)","{'user_mentions': [{'name': 'Armin Wolf', 'indices': [0, 10], 'id_str': '20694291', 'screen_name': 'ArminWolf', 'id': 20694291}], 'urls': [], 'symbols': [], 'hashtags': []}",13,0,11636,304,2016-03-07 17:21:36
2016-03-07 12:19:46,463,706816610254856196,@heimolepuschitz und so sehe ich wirklich aus 😄 https://t.co/DCmVNRfyxq,"{'user_mentions': [{'name': 'Heimo Lepuschitz', 'indices': [0, 16], 'id_str': '154869468', 'screen_name': 'heimolepuschitz', 'id': 154869468}], 'urls': [], 'media': [{'expanded_url': 'https://twitter.com/norbertghofer/status/706816610254856196/photo/1', 'media_url': 'http://pbs.twimg.com/media/Cc8d8zrUkAIa-YP.jpg', 'indices': [48, 71], 'display_url': 'pic.twitter.com/DCmVNRfyxq', 'media_url_https': 'https://pbs.twimg.com/media/Cc8d8zrUkAIa-YP.jpg', 'id': 706816597021724674, 'sizes': {'large': {'resize': 'fit', 'h': 1280, 'w': 960}, 'medium': {'resize': 'fit', 'h': 800, 'w': 600}, 'small': {'resize': 'fit', 'h': 453, 'w': 340}, 'thumb': {'resize': 'crop', 'h': 150, 'w': 150}}, 'id_str': '706816597021724674', 'url': 'https://t.co/DCmVNRfyxq', 'type': 'photo'}], 'symbols': [], 'hashtags': []}",22,4,11636,304,2016-03-07 12:19:46
2016-03-05 06:07:54,464,705998249870684161,RT @awlilnatty: If only nature would find a way to cover these oranges so we didn't need to waste so much plastic on them. https://t.co/00Y…,"{'user_mentions': [{'name': 'Nathalie Gordon', 'indices': [3, 14], 'id_str': '254660986', 'screen_name': 'awlilnatty', 'id': 254660986}], 'urls': [], 'symbols': [], 'hashtags': []}",0,109972,11636,304,2016-03-05 06:07:54
