,index,id_str,created_at,text,entities,favorite_count,retweet_count,followers_count,friends_count,retweeted,retweetedstatus,hashtags,user_mentioned,datetime,time
73,73,802984866442678272,2016-11-27 21:18:05,"Vielen herzlichen Dank an alle, die heute bei #ATV #DasDuell mit mir mitgefiebert haben und mich auf Facebook und... https://t.co/CLes2EVnDj","{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/8cycmiV9h', 'indices': [117, 140], 'url': 'https://t.co/CLes2EVnDj', 'display_url': 'fb.me/8cycmiV9h'}], 'hashtags': [{'text': 'ATV', 'indices': [46, 50]}, {'text': 'DasDuell', 'indices': [51, 60]}], 'user_mentions': []}",46,3,11721,304,False,False, ATV DasDuell,0,2016-11-27 21:18:05,2016-11-27
74,74,802969958909100033,2016-11-27 20:18:51,#ATV #DasDuell #BPW16 https://t.co/1yZIoviPBu,"{'symbols': [], 'urls': [], 'hashtags': [{'text': 'ATV', 'indices': [0, 4]}, {'text': 'DasDuell', 'indices': [5, 14]}, {'text': 'BPW16', 'indices': [15, 21]}], 'media': [{'media_url': 'http://pbs.twimg.com/media/CyS4xqGWQAA-x6S.jpg', 'indices': [22, 45], 'type': 'photo', 'display_url': 'pic.twitter.com/1yZIoviPBu', 'media_url_https': 'https://pbs.twimg.com/media/CyS4xqGWQAA-x6S.jpg', 'id_str': '802969796832804864', 'expanded_url': 'https://twitter.com/norbertghofer/status/802969958909100033/photo/1', 'id': 802969796832804864, 'sizes': {'medium': {'h': 800, 'resize': 'fit', 'w': 1200}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 1000, 'resize': 'fit', 'w': 1500}, 'small': {'h': 453, 'resize': 'fit', 'w': 680}}, 'url': 'https://t.co/1yZIoviPBu'}], 'user_mentions': []}",219,121,11721,304,False,False, ATV DasDuell BPW16,0,2016-11-27 20:18:51,2016-11-27
75,75,802969501931278337,2016-11-27 20:17:02,Die Türkei ist kein vertrauenswürdiger Partner für die Bewältigung der Asylkrise! #ATV #DasDuell #BPW16 https://t.co/wegz81honT,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/2J5s36R7F', 'indices': [104, 127], 'url': 'https://t.co/wegz81honT', 'display_url': 'fb.me/2J5s36R7F'}], 'hashtags': [{'text': 'ATV', 'indices': [82, 86]}, {'text': 'DasDuell', 'indices': [87, 96]}, {'text': 'BPW16', 'indices': [97, 103]}], 'user_mentions': []}",75,21,11721,304,False,False, ATV DasDuell BPW16,0,2016-11-27 20:17:02,2016-11-27
76,76,802965840924545024,2016-11-27 20:02:29,#ATV #DasDuell #BPW16 https://t.co/Zv7LqmAuFn,"{'symbols': [], 'urls': [], 'hashtags': [{'text': 'ATV', 'indices': [0, 4]}, {'text': 'DasDuell', 'indices': [5, 14]}, {'text': 'BPW16', 'indices': [15, 21]}], 'media': [{'media_url': 'http://pbs.twimg.com/media/CyS1I3TXAAAozgz.jpg', 'indices': [22, 45], 'type': 'photo', 'display_url': 'pic.twitter.com/Zv7LqmAuFn', 'media_url_https': 'https://pbs.twimg.com/media/CyS1I3TXAAAozgz.jpg', 'id_str': '802965797467521024', 'expanded_url': 'https://twitter.com/norbertghofer/status/802965840924545024/photo/1', 'id': 802965797467521024, 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 800, 'resize': 'fit', 'w': 1200}, 'large': {'h': 1000, 'resize': 'fit', 'w': 1500}, 'small': {'h': 453, 'resize': 'fit', 'w': 680}}, 'url': 'https://t.co/Zv7LqmAuFn'}], 'user_mentions': []}",100,36,11721,304,False,False, ATV DasDuell BPW16,0,2016-11-27 20:02:29,2016-11-27
77,77,802965319333609473,2016-11-27 20:00:25,Jetzt auf #ATV: #DasDuell zur #BPW16 https://t.co/1vO9nySmJ6,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/2EgeXP1NY', 'indices': [37, 60], 'url': 'https://t.co/1vO9nySmJ6', 'display_url': 'fb.me/2EgeXP1NY'}], 'hashtags': [{'text': 'ATV', 'indices': [10, 14]}, {'text': 'DasDuell', 'indices': [16, 25]}, {'text': 'BPW16', 'indices': [30, 36]}], 'user_mentions': []}",24,4,11721,304,False,False, ATV DasDuell BPW16,0,2016-11-27 20:00:25,2016-11-27
78,78,802958790446366720,2016-11-27 19:34:28,"Hier kann das ATV-Duell kommentiert werden:
https://t.co/ge24uOzjYB https://t.co/HM20ANph5o","{'symbols': [], 'urls': [{'expanded_url': 'http://atv.at/atv-meine-wahl/#pi_497793', 'indices': [44, 67], 'url': 'https://t.co/ge24uOzjYB', 'display_url': 'atv.at/atv-meine-wahl…'}, {'expanded_url': 'http://fb.me/2ULfVmNWA', 'indices': [68, 91], 'url': 'https://t.co/HM20ANph5o', 'display_url': 'fb.me/2ULfVmNWA'}], 'hashtags': [], 'user_mentions': []}",21,3,11721,304,False,False,,0,2016-11-27 19:34:28,2016-11-27
79,79,802927232356225024,2016-11-27 17:29:04,Danke für die unglaubliche Unterstützung! https://t.co/aeOOPCNzO1,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/1z17xm9ib', 'indices': [42, 65], 'url': 'https://t.co/aeOOPCNzO1', 'display_url': 'fb.me/1z17xm9ib'}], 'hashtags': [], 'user_mentions': []}",46,10,11721,304,False,False,,0,2016-11-27 17:29:04,2016-11-27
80,80,802897289404620800,2016-11-27 15:30:05,Heute Sonntag diskutieren Alexander Van der Bellen und ich live bei „ATV Meine Wahl – Das Duell“. Ich freue mich... https://t.co/4HzxUw3zDp,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/1alLNpqai', 'indices': [116, 139], 'url': 'https://t.co/4HzxUw3zDp', 'display_url': 'fb.me/1alLNpqai'}], 'hashtags': [], 'user_mentions': []}",43,7,11721,304,False,False,,0,2016-11-27 15:30:05,2016-11-27
81,81,802882208268742658,2016-11-27 14:30:09,https://t.co/ehh5bW7zsT,"{'symbols': [], 'urls': [], 'hashtags': [], 'media': [{'media_url': 'http://pbs.twimg.com/media/CyRpGHjXAAAA35Q.jpg', 'indices': [0, 23], 'type': 'photo', 'display_url': 'pic.twitter.com/ehh5bW7zsT', 'media_url_https': 'https://pbs.twimg.com/media/CyRpGHjXAAAA35Q.jpg', 'id_str': '802882187406278656', 'expanded_url': 'https://twitter.com/norbertghofer/status/802882208268742658/photo/1', 'id': 802882187406278656, 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 1200, 'resize': 'fit', 'w': 1200}, 'large': {'h': 1500, 'resize': 'fit', 'w': 1500}, 'small': {'h': 680, 'resize': 'fit', 'w': 680}}, 'url': 'https://t.co/ehh5bW7zsT'}], 'user_mentions': []}",93,48,11721,304,False,False,,0,2016-11-27 14:30:09,2016-11-27
82,82,802877409364209668,2016-11-27 14:11:05,I posted a new photo to Facebook https://t.co/ifE89HH6jq,"{'symbols': [], 'urls': [{'expanded_url': 'http://fb.me/EkhVJlwG', 'indices': [33, 56], 'url': 'https://t.co/ifE89HH6jq', 'display_url': 'fb.me/EkhVJlwG'}], 'hashtags': [], 'user_mentions': []}",20,3,11721,304,False,False,,0,2016-11-27 14:11:05,2016-11-27
